arquivo	escopo	categoria	git_blob_base_70d6b726	bytes	revisao
_product/proto/Compartilhamento Lectum - video-resposta stories referencia.png	_product	visual_binario	86a6c499d023fdbdacf5e6601bc96d727ccff5b7	2064724	inventariado_nao_revisado
_product/proto/Configurações de Conta - Login Google.jpg	_product	visual_binario	81f3f31731382c4af74eac2cfa2106c047dc5308	106077	inventariado_nao_revisado
_product/proto/Configurações de Notificações.jpg	_product	visual_binario	f5777e2d3721a35d8cf104f34e2993f0b30f7607	176959	inventariado_nao_revisado
_product/proto/Confirmação de Avaliação.jpg	_product	visual_binario	f4e3d80b05ba38eb9c33190a5d80e436e67706d0	101931	inventariado_nao_revisado
_product/proto/Confirmação de Código - Versão Moderna.jpg	_product	visual_binario	8f962d94d5414a2dd815aa63a42dcdcb1ef17aa6	95129	inventariado_nao_revisado
_product/proto/Confirmação de Envio de CRP - Layout Ajustado-1.jpg	_product	visual_binario	6263c2078fe3366d6741416cd242086064d9765a	155175	inventariado_nao_revisado
_product/proto/Confirmação de Envio de CRP - Layout Ajustado-2.jpg	_product	visual_binario	929a770a88b34eff22ca2322eaa3637d99d168ca	147055	inventariado_nao_revisado
_product/proto/Confirmação de Envio de CRP - Layout Ajustado-3.jpg	_product	visual_binario	603254ddf7d4435b5d277d7cffc02adec175479e	146946	inventariado_nao_revisado
_product/proto/Confirmação de Envio de CRP - Layout Ajustado.jpg	_product	visual_binario	27cec35755f62760bcd2ce01e9acbfbe9f104fca	143715	inventariado_nao_revisado
_product/proto/Confirmação de Postagem.jpg	_product	visual_binario	2ede6911c4cc5a916604f30bf38f30f12f37c721	62362	inventariado_nao_revisado
_product/proto/Confirmação de Sugestão de Comunidade.jpg	_product	visual_binario	1f1d84cb97a260507bd5628738842aaa3b584e57	86838	inventariado_nao_revisado
_product/proto/Confirmação de WhatsApp - Inserir Número.jpg	_product	visual_binario	a4a635e853cb5d629fb338633d6861d42093c873	129803	inventariado_nao_revisado
_product/proto/Criar Nova Postagem - Pacientes.jpg	_product	visual_binario	b5abd0b99bf30264c548fe86f6786513e38f69ea	105402	inventariado_nao_revisado
_product/proto/Criar Nova Postagem - Psicólogo.jpg	_product	visual_binario	cce29886a197179a8c80d12d3f02af62a1b9ae3c	121121	inventariado_nao_revisado
_product/proto/Dentro da Comunidade.jpg	_product	visual_binario	1d85ac32e24d5744ec8b70a19b4f9996d9af6a59	387992	inventariado_nao_revisado
_product/proto/Dentro do Post.jpg	_product	visual_binario	4b9407420a04929fe35b4b9fee352231c14e90d1	642465	inventariado_nao_revisado
_product/proto/Editar E-mail e Senha.jpg	_product	visual_binario	f091e9a44ee81d5614cdce298af2b765553c46fe	132749	inventariado_nao_revisado
_product/proto/Editar Perfil - Paciente.jpg	_product	visual_binario	90d24def42c8e848bdd61f2509d1fe7e116b09ca	119826	inventariado_nao_revisado
_product/proto/Editar Perfil - Psicólogo.jpg	_product	visual_binario	24fea8803e8eb1f46097c9611f348632274a95e3	700426	inventariado_nao_revisado
_product/proto/Endereço de Faturamento - Layout Ajustado.jpg	_product	visual_binario	2ae91ba83e5d64a7b80eb0f839b4725d91112fac	154437	inventariado_nao_revisado
_product/proto/Explorar Comunidades.jpg	_product	visual_binario	4266e1dc1abd7611f85b9dd6964a04e28426f10d	360763	inventariado_nao_revisado
_product/proto/Favoritos.jpg	_product	visual_binario	19f38d19d1ee5f0a72997415c99db94480ef215c	292316	inventariado_nao_revisado
_product/proto/Feed Comunidade.jpg	_product	visual_binario	2e783ab9a4167b51e8ce68cd6d9ced8f7724a2e8	718338	inventariado_nao_revisado
_product/proto/Filtros de Psicólogos - Serviços Expandidos.jpg	_product	visual_binario	a88a05c9f0156d68a02d1d7e8a4a1b487d9a6629	276882	inventariado_nao_revisado
_product/proto/Finalizar Assinatura - Psicólogo.jpg	_product	visual_binario	3645df2bf62d841ed35fda2e7dd66bacc29e8e01	138306	inventariado_nao_revisado
_product/proto/Login.jpg	_product	visual_binario	dba73af47f460b8eb1c5931af0bee78cc671bed1	114947	inventariado_nao_revisado
_product/proto/Meus Analytics - Psicólogo.jpg	_product	visual_binario	45bf55cf00dc5d5b74474fb6c55bb20b214cba06	228570	inventariado_nao_revisado
_product/proto/Meus Posts - Paciente.jpg	_product	visual_binario	7f5e083d96c984d57b8bca42c497c15121897fd6	234664	inventariado_nao_revisado
_product/proto/Meus Posts - Psicólogo.jpg	_product	visual_binario	aaa537e53b26e283f7e735a398dea9cfce7dd176	371369	inventariado_nao_revisado
_product/proto/Minhas Assinatura - Psicólogo.jpg	_product	visual_binario	a9205351d32494a4a002a866feeb9377ab303491	145567	inventariado_nao_revisado
_product/proto/Minhas Avaliações - Psicólogo.jpg	_product	visual_binario	225cf5772dc6d5e4347de0651308ebf07ed492b1	289550	inventariado_nao_revisado
_product/proto/Modal de Atualização de Perfil do Psicólogo.jpg	_product	visual_binario	494fa951b667fa04bb779e8fa610c6159caf80b7	121122	inventariado_nao_revisado
_product/proto/Notificações.jpg	_product	visual_binario	44c90e1e167fe372010e0a6891c8252275dae38c	237614	inventariado_nao_revisado
_product/proto/Perfil - Psicólogo.jpg	_product	visual_binario	d47da74ea7efc201cc857299b65ee16b81da2926	170328	inventariado_nao_revisado
_product/proto/Perfil Profissional - Avaliações.jpg	_product	visual_binario	cd0a6a01483d7a47e40175de38e617ad3b144bf3	383049	inventariado_nao_revisado
_product/proto/Perfil Profissional - Publicações.jpg	_product	visual_binario	12067f61daec50f3bb528074aa46bdcdcdda8556	580589	inventariado_nao_revisado
_product/proto/Perfil Profissional - Sobre.jpg	_product	visual_binario	23ffd6ce2b6aa04efa530167283a0ca235d17482	559360	inventariado_nao_revisado
_product/proto/Perfil do paciente.jpg	_product	visual_binario	98aada2536d5149683465c22f4202896cb573973	137047	inventariado_nao_revisado
_product/proto/Planos de Assinatura.jpg	_product	visual_binario	f994a90c28bd06488329cb21f8fbb742d94dd130	442165	inventariado_nao_revisado
